Country,Read Meat,White Meat,Eggs,Milk,Fish,Cereals,Starchy Foods,Pulses nut and oilseeds,Fruits and vegetables,
Albania,10,1,1,9,0.0,42,1,6,2
Austria,9,14,4,20,2.0,28,4,1,4
Belgium,14,9,4,18,5.0,27,6,2,4
Bulgaria,8,6,2,8,1.0,57,1,4,4
Czechoslovakia,10,11,3,13,2.0,34,5,1,4
Denmark,11,11,4,25,10.0,22,5,1,2
East Germany,8,12,4,11,5.0,25,7,1,4
Finland,10,5,3,34,6.0,26,5,1,1
France,18,10,3,20,6.0,28,5,2,7
Greece,10,3,3,18,6.0,42,2,5,7
Hungary,5,12,3,10,0.0,40,4,2,4
Ireland,14,10,5,26,2.0,24,6,4,3
Italy,9,5,3,14,3.0,37,2,4,7
The Netherlands,10,14,4,23,3.0,22,4,2,4
Norway,9,5,3,23,10.0,23,5,2,3
Poland,7,10,3,19,3.0,36,6,2,7
Portugal,6,4,1,5,14.0,27,6,5,8
Romania,6,6,2,11,1.0,50,3,5,3
Spain,7,3,3,9,7.0,29,6,6,7
Sweden,10,8,4,25,8.0,20,4,1,2
Switzerland,13,10,3,24,2.0,26,3,2,5
United Kingdom,17,6,5,21,4.0,24,5,3,3
USSR,9,5,4,17,3.0,44,6,3,3
West Germany,11,13,2,19,3.0,19,5,2,4
Yugoslavia,4,5,1,10,1.0,56,3,6,3
